address,amount
0xF395767ae0e947504651a33aC2899520c551955D,815
0x440Bcc7a1CF465EAFaBaE301D1D7739cbFe09dDA,995
0x08c1AE7E46D4A13b766566033b5C47c735e19F6f,529
0xF02e86D9E0eFd57aD034FaF52201B79917fE0713,395
0x66666F58dE1bcD762A5E5c5aFf9cc3C906D66666,989
0xFFBD08371fae1e00E28Be21D7A274790BA2dbaF6,714
0x4AF79fFCaBb09083aF6CcC3b2C20Fe989519f6d7,993
0xCA33fd05EBEE61410FEB6f1aC2D7819e9F57dCAB,696
